,Result,Category
977,Black Win,8
978,White Win,15
979,White Win,10
980,White Win,9
981,Black Win,9
982,Black Win,12
983,White Win,9
984,Black Win,16
985,White Win,9
986,White Win,10
987,White Win,13
988,Black Win,11
989,Black Win,9
990,Black Win,8
991,White Win,14
992,Black Win,0
993,Black Win,11
994,White Win,10
995,Black Win,8
996,White Win,8
997,White Win,14
998,Black Win,6
999,Black Win,8
1000,Black Win,7
1001,Black Win,5
1002,White Win,8
1003,Black Win,11
1004,White Win,9
1005,White Win,9
1006,White Win,8
1007,White Win,18
1008,Black Win,3
1009,Black Win,15
1010,White Win,8
1011,Black Win,0
1012,Black Win,3
1013,Black Win,8
1014,Black Win,12
1015,White Win,14
1016,Black Win,10
1017,White Win,11
1018,White Win,13
1019,Black Win,6
1020,White Win,14
1021,White Win,8
1022,Black Win,11
1023,White Win,9
1024,White Win,8
1025,White Win,14
1026,White Win,10
1027,White Win,8
1028,White Win,11
1029,Black Win,5
1030,Black Win,11
1031,Black Win,15
1032,White Win,10
1033,White Win,14
1034,White Win,12
1035,Black Win,7
1036,Black Win,6
1037,Black Win,6
1038,White Win,16
1039,Black Win,6
1040,Black Win,4
1041,Black Win,8
1042,Draw,9
1043,Black Win,10
1044,White Win,9
1045,Black Win,7
1046,White Win,3
1047,White Win,10
1048,Draw,8
1049,White Win,15
1050,Black Win,8
1051,White Win,9
1052,White Win,10
1053,White Win,20
1054,Black Win,5
1055,White Win,9
1056,Black Win,8
1057,Black Win,8
1058,Black Win,5
1059,White Win,6
1060,Draw,14
1061,White Win,8
1062,Black Win,5
1063,Black Win,9
1064,Black Win,10
1065,White Win,11
1066,White Win,11
1067,White Win,8
1068,White Win,7
1069,Black Win,12
1070,White Win,11
1071,White Win,20
1072,Black Win,6
1073,White Win,16
1074,Black Win,9
1075,White Win,8
1076,Black Win,14
1077,White Win,7
1078,White Win,11
1079,Black Win,14
1080,White Win,9
1081,Black Win,8
1082,White Win,10
1083,Black Win,12
1084,Black Win,9
1085,Black Win,8
1086,White Win,12
1087,Draw,11
1088,Black Win,7
1089,White Win,20
1090,Black Win,4
1091,White Win,0
1092,Black Win,6
1093,White Win,9
1094,Black Win,9
1095,White Win,8
1096,Black Win,12
1097,Black Win,4
1098,White Win,9
1099,Black Win,0
1100,Black Win,6
1101,White Win,12
1102,White Win,11
1103,White Win,11
1104,Draw,8
1105,White Win,20
1106,White Win,12
1107,White Win,7
1108,White Win,15
1109,White Win,13
1110,White Win,11
1111,Black Win,10
1112,Black Win,7
1113,Black Win,8
1114,Black Win,5
1115,Black Win,3
1116,Black Win,12
